row_id	kind	source_path	identity	destination	replacement	status	notes
unit:kb/sources/a-harness-for-every-task-dynamic-workflows.ingest.md	unit	kb/sources/a-harness-for-every-task-dynamic-workflows.ingest.md	https://x.com/trq212/status/2061907337154367865	kb/sources/a-harness-for-every-task-dynamic-workflows.ingest.md		complete	primary=kb/sources/a-harness-for-every-task-dynamic-workflows.md; ingest=tracked; disposition=ordinary; before_file_sha256=474c577d724c5dc6603545c328a72574c3f1aa022a25009b991ee7b7eda3f436; before_body_sha256=7a9b1c2d8de94fae03f11e1092be7b47b1a4ef028135c2cd763399764245a9bd; snapshot_sha256=dad4f4a737c00d19d6203923ea64f5523adfb017344327e9ad0909d13b827128; removed metadata-block blank-line residue
unit:kb/sources/a-mem-agentic-memory-for-llm-agents.ingest.md	unit	kb/sources/a-mem-agentic-memory-for-llm-agents.ingest.md	https://arxiv.org/abs/2502.12110	kb/sources/a-mem-agentic-memory-for-llm-agents.ingest.md		complete	primary=kb/sources/a-mem-agentic-memory-for-llm-agents.md; ingest=tracked; disposition=ordinary; before_file_sha256=f509cb7f06be567f84abeba65b394bf8fae96887d26b54fff8d7744857835247; before_body_sha256=cc7ef0a3d440de0adbab672a350fad8b7b6d373888967e6589a7c0cad1d84ca8; snapshot_sha256=be2ed6406d52872b01fa38c014ea4cedad66b8ebb3e654f3d8b44bf487793d44; removed metadata-block blank-line residue; removed domains-line blank-line residue
unit:kb/sources/a-new-era-of-theory-driven-ai-research-2084779496549548323.ingest.md	unit	kb/sources/a-new-era-of-theory-driven-ai-research-2084779496549548323.ingest.md	https://x.com/aaron_defazio/status/2084779496549548323	kb/sources/a-new-era-of-theory-driven-ai-research-2084779496549548323.ingest.md		complete	primary=kb/sources/a-new-era-of-theory-driven-ai-research-2084779496549548323.md; ingest=tracked; disposition=ordinary; before_file_sha256=c2e76f63d38df4604e30bab7f5b3e67eda11dc6b52f2fb4b916c9d3ea856aa5d; before_body_sha256=fd20302a302049d470161c9b4bdafef2eba94db3e4d324b960f3743d689eb67b; snapshot_sha256=eb66910a34e9f06aefeb2baeb258e9794f9e8f7111a6ebd122ba4efd9dda6b16; removed metadata-block blank-line residue
unit:kb/sources/a-new-way-to-think-about-composing-skills-to-increase.ingest.md	unit	kb/sources/a-new-way-to-think-about-composing-skills-to-increase.ingest.md	https://x.com/shivsakhuja/status/2047124337191444844	kb/sources/a-new-way-to-think-about-composing-skills-to-increase.ingest.md		complete	primary=kb/sources/a-new-way-to-think-about-composing-skills-to-increase-leverage-skill.md; ingest=tracked; disposition=ordinary; before_file_sha256=f0311993e8cb26f5632b0a62540d4a399277f954a855f16822ee5ca9e0cc0c99; before_body_sha256=e8cda4c3e3b099fb7c5b46bd892ecf51dc65f22711b58edfad030508aefc5ecb; snapshot_sha256=8ac9f4bf04234f7a5d68b5946b4144375af4ede6853b84ba033aa48dae953412; removed metadata-block blank-line residue; removed domains-line blank-line residue
unit:kb/sources/a-programming-paradigm-for-spatiotemporal-composability.ingest.md	unit	kb/sources/a-programming-paradigm-for-spatiotemporal-composability.ingest.md	https://github.com/cordiverse/paper/blob/main/paper.pdf	kb/sources/a-programming-paradigm-for-spatiotemporal-composability.ingest.md		complete	primary=kb/sources/a-programming-paradigm-for-spatiotemporal-composability.md; ingest=tracked; disposition=ordinary; before_file_sha256=66e717f93a4140c6e7317866ade2cfb3a39c106b6c25cbfd3fde5fd6dcecd6a5; before_body_sha256=39d01ef86731ea9b6dc652005df198a299d3566c05573b390c0aa5f56eed0833; snapshot_sha256=eabef28217793ee9ee52a6bbba50234b31beac294222058f9df402b9f2b54919; removed metadata-block blank-line residue
unit:kb/sources/acm-agentic-context-management-for-long-horizon-tasks.ingest.md	unit	kb/sources/acm-agentic-context-management-for-long-horizon-tasks.ingest.md	https://arxiv.org/abs/2607.23809	kb/sources/acm-agentic-context-management-for-long-horizon-tasks.ingest.md		complete	primary=kb/sources/acm-agentic-context-management-for-long-horizon-tasks.md; ingest=tracked; disposition=ordinary; before_file_sha256=54817efa2f55bce07ed475022c3b4f8c1960b5cc22d9e44a5dc9197727c3a9f3; before_body_sha256=f723d33258a6a84990d297406f57b5276417ba68bc84bd26330097cd59a4d1e8; snapshot_sha256=56d2f596d4bbb9ce785b0de456982a2dfff80af7a50d4f1f4ef16778d79d5de2; removed metadata-block blank-line residue
unit:kb/sources/adam-mastroianni-infinite-midwit.ingest.md	unit	kb/sources/adam-mastroianni-infinite-midwit.ingest.md	https://www.experimental-history.com/p/infinite-midwit	kb/sources/adam-mastroianni-infinite-midwit.ingest.md		complete	primary=kb/sources/adam-mastroianni-infinite-midwit.md; ingest=tracked; disposition=ordinary; before_file_sha256=43a13bd5a24b09ae286af227784b0646eacd9dbaf9b9f0487cdf8dcbc503aabd; before_body_sha256=918c23969f964848bd8560ae022db49de498d851f5f1cba6ccde9db7628abf5b; snapshot_sha256=96bc4cd184039e5f5e26bf461eee8c2e46be3f76195af3b37de652747fa90aef; removed metadata-block blank-line residue; removed domains-line blank-line residue
unit:kb/sources/adaptation-of-agentic-ai-survey-post-training-memory-skills.ingest.md	unit	kb/sources/adaptation-of-agentic-ai-survey-post-training-memory-skills.ingest.md	https://arxiv.org/html/2512.16301v3	kb/sources/adaptation-of-agentic-ai-survey-post-training-memory-skills.ingest.md		complete	primary=kb/sources/adaptation-of-agentic-ai-survey-post-training-memory-skills.md; ingest=tracked; disposition=ordinary; before_file_sha256=ba50885e58fb5d09016a6ba355b5d92e30b3d942e77293b785f633962cfb25c3; before_body_sha256=b415769f21779bd4b9e0ebc1d04fca1493b37b0a27b96edcad0cd25c84004121; snapshot_sha256=66d05395bf706c0c8d6fb2b7a2036c4136217486f72583aa48d73e8b82108776; removed metadata-block blank-line residue
unit:kb/sources/agent-behavioral-contracts-formal-specification-runtime.ingest.md	unit	kb/sources/agent-behavioral-contracts-formal-specification-runtime.ingest.md	https://arxiv.org/html/2602.22302v1	kb/sources/agent-behavioral-contracts-formal-specification-runtime.ingest.md		complete	primary=kb/sources/agent-behavioral-contracts-formal-specification-runtime-enforcement.md; ingest=tracked; disposition=ordinary; before_file_sha256=ee4ee89c53a58edc574c695845241ff7c198cd67b7d607fd631f489b71c7b5ad; before_body_sha256=05df82d7e6601c0b1b5d3da0e5e25eefc4c93342992cacbb9093d77ba5061c32; snapshot_sha256=ade929d5270348c6fceae8745d185ffb452424d81ea48c3813b7123f4250c965; removed metadata-block blank-line residue; removed domains-line blank-line residue
unit:kb/sources/agent-harness-large-language-model-agents-survey.ingest.md	unit	kb/sources/agent-harness-large-language-model-agents-survey.ingest.md	https://www.preprints.org/manuscript/202604.0428	kb/sources/agent-harness-large-language-model-agents-survey.ingest.md		complete	primary=kb/sources/agent-harness-large-language-model-agents-survey.md; ingest=tracked; disposition=ordinary; before_file_sha256=63cef9aa277173b4dc7fe4b4ca091848f86e9d46587f8a728d397b95624e10a9; before_body_sha256=0cfff81da0ddce05c2fc234cacf21ad16b05470f1faca42a10b78004ed22d8de; snapshot_sha256=bd5d44820e83c105809c652913b0f2ad1dcf799a764a678b7a257d74c5a9dcc2; removed metadata-block blank-line residue
