note_path,gate_id,model,gate_hash,recorded_commit,watched_hash,recorded_at
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/anthropomorphic-framing,opus-4.6,4a8b5ccec3e5b0e7174b4392cd3f2325e401e9d7,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:38+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/confidence-miscalibration,opus-4.6,d8c22b55baba280c0855649ad07cf5a65927898e,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:38+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/orphan-references,opus-4.6,0fa53bb4476c0b558b1103b0fb2fa5faff181b2c,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:38+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/proportion-mismatch,opus-4.6,d86d818c9a7c8d6cd08e6fd41f6256b00a3d08e6,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:38+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/pseudo-formalism,opus-4.6,b9eaa2a92b7a71c0b6a70f7bc139a31d52434df8,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:11:42+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/redundant-restatement,opus-4.6,6cc3055529559635ff4f21cc2bd4fc22bf3e9ec4,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:38+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/source-residue,opus-4.6,29263b6146e1c186126a999e6ad86569c5395c24,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:38+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,prose/unbridged-cross-domain,opus-4.6,c05f580b14cb126f3c25acf576d48929a72c4401,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:14:37+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,semantic/completeness-boundary-cases,opus-4.6,053b48e685ea43922bddff685682f7d56447b657,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:07:09+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,semantic/grounding-alignment,opus-4.6,bcdd500e6c1fe6d609dd9c680963a3db4f141452,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:07:01+01:00
kb/notes/agent-context-is-constrained-by-soft-degradation-not-hard-token-limits.md,semantic/internal-consistency,opus-4.6,9076e845827408a541d23168e69701e8a66d2969,b34b33c12f7199564136b76b6124efb69f6be91b,2bb82ffde2f8ccb2643ff41fb89d22b79519c0b2,2026-03-26T23:07:14+01:00
